Sample	Timepoint	Condition	read1	read2
LD1328-4	0h	YES	/hugedata/YushengYang/20210822_ningshaokai_1328_batch2/fq1/LD_NSKY1328-4-0-spore_NSK-0822_diploid_1.fq.gz	/hugedata/YushengYang/20210822_ningshaokai_1328_batch2/fq2/LD_NSKY1328-4-0-spore_NSK-0822_diploid_2.fq.gz
LD1328-4	YES0	YES	/hugedata/YushengYang/20210822_ningshaokai_1328_batch2/fq1/LD_NSKY1328-4-0-YES0_NSK-0822_diploid_1.fq.gz	/hugedata/YushengYang/20210822_ningshaokai_1328_batch2/fq2/LD_NSKY1328-4-0-YES0_NSK-0822_diploid_2.fq.gz
LD1328-4	YES1	YES	/hugedata/YushengYang/20210822_ningshaokai_1328_batch2/fq1/LD_NSKY1328-4-0-YES1_NSK-0822_diploid_1.fq.gz	/hugedata/YushengYang/20210822_ningshaokai_1328_batch2/fq2/LD_NSKY1328-4-0-YES1_NSK-0822_diploid_2.fq.gz
LD1328-4	YES2	YES	/hugedata/YushengYang/20210822_ningshaokai_1328_batch2/fq1/LD_NSKY1328-4-0-YES2_NSK-0822_diploid_1.fq.gz	/hugedata/YushengYang/20210822_ningshaokai_1328_batch2/fq2/LD_NSKY1328-4-0-YES2_NSK-0822_diploid_2.fq.gz
LD1328-4	YES3	YES	/hugedata/YushengYang/20210822_ningshaokai_1328_batch2/fq1/LD_NSKY1328-4-0-YES3_NSK-0822_diploid_1.fq.gz	/hugedata/YushengYang/20210822_ningshaokai_1328_batch2/fq2/LD_NSKY1328-4-0-YES3_NSK-0822_diploid_2.fq.gz
LD1328-4	YES4	YES	/hugedata/YushengYang/20210822_ningshaokai_1328_batch2/fq1/LD_NSKY1328-4-0-YES4_NSK-0822_diploid_1.fq.gz	/hugedata/YushengYang/20210822_ningshaokai_1328_batch2/fq2/LD_NSKY1328-4-0-YES4_NSK-0822_diploid_2.fq.gz
LD1328-7	0h	YES	/hugedata/YushengYang/20211018_ningshaokai_diploid_and_20211110_ningshaokai_diploid/fq1/LD_NSKY1328-7-1-spore_NSK-1009_diploid_1.fq.gz	/hugedata/YushengYang/20211018_ningshaokai_diploid_and_20211110_ningshaokai_diploid/fq2/LD_NSKY1328-7-1-spore_NSK-1009_diploid_2.fq.gz
LD1328-7	YES0	YES	/hugedata/YushengYang/20211018_ningshaokai_diploid_and_20211110_ningshaokai_diploid/fq1/LD_NSKY1328-7-1-YES0_NSK-1031_diploid_1.fq.gz	/hugedata/YushengYang/20211018_ningshaokai_diploid_and_20211110_ningshaokai_diploid/fq2/LD_NSKY1328-7-1-YES0_NSK-1031_diploid_2.fq.gz
LD1328-7	YES1	YES	/hugedata/YushengYang/20211018_ningshaokai_diploid_and_20211110_ningshaokai_diploid/fq1/LD_NSKY1328-7-1-YES1_NSK-1031_diploid_1.fq.gz	/hugedata/YushengYang/20211018_ningshaokai_diploid_and_20211110_ningshaokai_diploid/fq2/LD_NSKY1328-7-1-YES1_NSK-1031_diploid_2.fq.gz
LD1328-7	YES2	YES	/hugedata/YushengYang/20211018_ningshaokai_diploid_and_20211110_ningshaokai_diploid/fq1/LD_NSKY1328-7-1-YES2_NSK-1009_diploid_1.fq.gz	/hugedata/YushengYang/20211018_ningshaokai_diploid_and_20211110_ningshaokai_diploid/fq2/LD_NSKY1328-7-1-YES2_NSK-1009_diploid_2.fq.gz
